지역,센터명,시도명,시군구명,주소,전화번호_1,전화번호_2,전화번호_3(팩스),홈페이지,위도,경도
서울,서울시청소년상담복지센터,서울특별시,중구,(04543) 서울특별시 중구 을지로 11길 23 7층,02-2285-1318,02-2285-1318,02-2285-1315,www.teen1318.or.kr,37.566375,126.990471
서울,종로구청소년상담복지센터,서울특별시,종로구,(03065) 서울특별시 종로구 명륜길 90,02-762-1318,02-762-1318,02-762-1319,www.jongno1318.or.kr,37.585501,126.997992
서울,용산구청소년상담복지센터,서울특별시,용산구,(04316) 서울특별시 용산구 백범로 329(원효로 1가) 꿈나무종합타운 4층,02-3273-5820,02-3273-5829,02-3273-5819,www.dodoit.or.kr,37.534241,126.963403
서울,성동구청소년상담복지센터,서울특별시,성동구,(04718) 서울특별시 성동구 행당로6길 24-15,02-2299-1388,02-2299-1388,02-2296-1389,http://sdyc.or.kr,37.561491,127.026402
서울,광진구청소년상담복지센터,서울특별시,광진구,(05072) 서울특별시 광진구 아차산로 24길 17 자양공공힐링센터 3층,02-2205-2300,02-2205-2300,02-2205-2662,www.light1318.or.kr,37.534201,127.067332
서울,동대문구청소년상담복지센터,서울특별시,동대문구,(02586) 서울특별시 동대문구 천호대로2길 23-9 신설동복지지원센터 2층,02-2236-1318,02-2236-1318,02-2237-1316,www.ddm1318.or.kr,37.575294,127.023249
서울,중랑구청소년상담복지센터,서울특별시,중랑구,(02254) 서울특별시 중랑구 용마산로 217 청소년수련관 3층,02-496-1895,02-490-0222,02-496-1894,www.jn1318.or.kr,37.579624,127.094595
서울,성북구청소년상담복지센터,서울특별시,성북구,(02814) 서울특별시 성북구 정릉로 242 성북아동청소년센터 4층,02-3292-1388,02-3292-1779,02-3292-1784,www.sb1318.or.kr,37.600609,127.009388
서울,성북구석관청소년상담복지센터,서울특별시,성북구,(02784) 서울특별시 성북구 돌곶이로 18길 3-9,02-963-1318,02-963-1318,02-3292-1784,www.sb1318.or.kr,37.610196,127.064567
서울,강북구청소년상담복지센터,서울특별시,강북구,(01012) 서울특별시 강북구 4.19로 74 강북청소년수련관 3층,02-6715-6661,02-6715-6661~7,02-6715-6668,www.gb1318.or.kr,37.644161,127.01358
서울,도봉구청소년상담복지센터,서울특별시,도봉구,(01412) 서울특별시 도봉구 노해로 69길 132 문화체육센터 1층,02-6956-4501,02-6956-4508,02-6956-4512,www.db1318.or.kr,37.649313,127.050419
